ZoneID,ToZoneID,Latitude,Longitude,Distance,Band
120,204,53.050444,-2.12409,234.7754611,225
120,205,52.250071,1.1914051,132.7129398,125
120,206,52.25655,0.64958546,112.2527082,100
120,207,51.240637,-0.18939242,14.80393252,25
120,208,51.374584,-0.53985136,32.15737782,25
120,209,51.202598,-0.6193998,41.2963803,50
120,210,53.477978,-2.0666643,272.1546001,275
120,211,52.623148,-1.6851042,179.1052069,175
120,212,52.721252,-2.4894489,224.5994198,225
120,213,51.935021,-2.0776968,152.6274994,150
120,214,51.448181,-3.418203,232.5067628,225
120,215,53.244508,-2.5686503,270.2087923,275
120,216,53.659167,-1.4132067,271.9098147,275
120,217,52.612785,-1.9751309,191.1704994,200
120,218,53.398277,-2.5617507,283.2634419,275
120,219,52.278128,-0.71469056,111.708233,100
120,220,53.526215,-2.5870504,295.6544756,300
120,221,52.590729,-2.1276263,196.7517208,200
120,222,52.1723,-1.5982353,138.8112976,150
120,223,55.95542,-4.5025845,589.2743355,600
120,224,55.88489,-3.6084318,555.3427537,550
120,225,51.004424,-0.10805097,38.97908742,50
120,226,50.909701,-0.71675427,66.61229354,75
120,227,50.829503,-0.48918973,65.06262414,75
120,228,51.004209,-0.38618716,44.47259431,50
120,229,55.954688,-5.1683338,612.1614011,600
120,230,51.544028,-2.0568388,139.0469873,150
120,231,51.235391,-1.9271589,129.5371938,125
120,232,53.368933,-3.0649046,302.5438144,300
120,233,52.211096,-2.2093238,175.1379578,175
120,234,53.012579,-3.0260148,273.1276617,275
120,235,53.966502,-1.1001918,298.6904226,300
121,1,54.703343,-3.2807922,430.393662,425
121,2,57.237544,-2.7929751,675.38631,675
121,3,53.524482,-1.5494823,260.4736031,250
121,4,51.355997,-2.4932074,178.4008557,175
121,5,52.495176,-1.8801345,180.9331728,175
121,6,52.578651,-1.1988298,157.2154462,150
121,7,53.699199,-2.4636348,307.8700757,300
121,8,53.824529,-3.0243034,341.2690444,350
121,9,53.584559,-2.4826348,298.2465801,300
121,10,50.74482,-1.8393092,152.3661498,150
121,11,53.843678,-1.8506703,301.1118196,300
121,12,51.553367,-3.613314,256.2765201,250
121,13,52.188609,-0.45486269,94.68952997,100
121,14,51.45504,-0.76631993,58.38321062,50
121,15,51.445696,-1.2844366,94.24070448,100
121,16,55.526331,-2.7885726,496.464053,500
121,17,50.846246,-0.1301968,63.35332238,75
121,18,51.781388,-0.80565504,73.85761906,75
121,19,53.720427,-1.9501065,291.9799536,300
121,20,51.503147,-3.205475,227.8063946,225
121,21,54.982614,-2.8325357,442.9599462,450
121,22,51.894893,-4.2139463,301.3439243,300
121,23,52.29802,-3.9499811,294.2068138,300
121,24,52.740006,-1.1403301,170.3839183,175
121,25,51.470949,-2.6127479,186.5712669,175
121,26,53.165836,-2.300626,254.2143326,250
121,27,53.147443,-3.7466843,324.7315083,325
121,28,52.506911,-0.70211934,133.8705638,125
121,29,52.414136,-1.5225461,157.0592692,150
121,30,52.178947,0.094035346,86.47216639,75
121,31,52.336644,0.27635061,104.9782732,100
121,32,52.451229,-0.13158562,117.5579419,125
